page,impressions,ctr,position,заголовок
https://www.kommersant.ru/doc/6296290,25431,0.08,8,"('YouTube выпустил крупное обновление с новыми функциями – Коммерсантъ',)"
https://www.kommersant.ru/doc/6296237,13254,3.49,5,"('Закон о тишине: где и в какое время запрещено шуметь - Коммерсантъ',)"
https://www.kommersant.ru/doc/6297128,11311,0.83,10,"('Дом блогера Анатолия Шария в Испании закидали «коктейлями Молотова» – Коммерсантъ', 'Дом блогера Анатолия Шария в Испании закидали коктейлями Молотова – Коммерсантъ')"
https://www.kommersant.ru/doc/6297032,8566,1.59,10,"('Умер председатель совета директоров ЛУКОЙЛа Владимир Некрасов – Коммерсантъ',)"
https://www.kommersant.ru/doc/6296755,6772,3.51,5,"('Шри-Ланка начала выдавать бесплатные визы гражданам России и еще шести стран – Коммерсантъ',)"
https://www.kommersant.ru/doc/6295757,5694,0.49,14,"('Эскалация в Газе грозит нарушить гражданский мир в Индии',)"
https://www.kommersant.ru/doc/6296593,4046,7.96,5,"('Армавирский «отравитель» оказался хулиганом – Коммерсантъ', 'Подозреваемый в попытке отравить летчиков в Армавире арестован за мелкое хулиганство', 'Nghi phạm âm mưu đầu độc phi công ở Armavir bị bắt vì hành vi côn đồ nhỏ nhặt')"
https://www.kommersant.ru/theme/494,3863,1.53,7,"('Дело Эдуарда Ульмана: последние новости - Коммерсантъ',)"
https://www.kommersant.ru/doc/6297028,3788,1.48,9,"('Министр обороны Китая Ли Шанфу отправлен в отставку – Коммерсантъ',)"
https://www.kommersant.ru/doc/6296687,3539,3.08,5,"('Самолет «Смартавиа» выкатился за пределы полосы из-за плохих погодных условий – Коммерсантъ Пермь', 'Вoeing «Смартавиа» выкатился за пределы полосы из-за плохих погодных условий – Коммерсантъ Пермь')"
https://www.kommersant.ru/doc/6295865,3386,0.47,7,
https://www.kommersant.ru/doc/6296701,3221,0.31,8,
https://www.kommersant.ru/doc/6295815,3130,1.47,5,
https://www.kommersant.ru/doc/5340645,2626,2.93,8,
https://www.kommersant.ru/doc/6296656,2318,0.69,10,
https://www.kommersant.ru/doc/6136710,2218,0.18,11,
https://www.kommersant.ru/doc/6297093,2178,3.76,4,
https://www.kommersant.ru/doc/6296791,2054,0.68,8,
https://www.kommersant.ru/doc/6297196,1980,0.2,7,
https://www.kommersant.ru/doc/6297138,1956,0.61,9,
https://www.kommersant.ru/doc/6296102,1867,3.05,5,
https://www.kommersant.ru/doc/6296686,1790,3.35,8,
https://www.kommersant.ru/doc/6297245,1753,4.39,7,
https://www.kommersant.ru/doc/6296778,1687,2.61,14,
https://www.kommersant.ru/doc/6296349,1601,1.06,10,
https://www.kommersant.ru/doc/6296508,1386,1.3,5,
https://www.kommersant.ru/doc/6296319,1318,10.77,2,
https://www.kommersant.ru/doc/6212937,1152,1.82,9,
https://www.kommersant.ru/doc/6295063,1117,2.06,15,
https://www.kommersant.ru/doc/6296358,1092,1.92,5,
https://www.kommersant.ru/doc/1616848,1070,0.56,11,
https://www.kommersant.ru/doc/6296554,987,4.36,12,
https://www.kommersant.ru/doc/5537575,929,1.51,9,
https://www.kommersant.ru/gallery/2499631,924,1.19,10,
https://www.kommersant.ru/doc/5915621,902,0.33,9,
https://www.kommersant.ru/doc/6284010,847,6.26,12,
https://www.kommersant.ru/doc/3217436,818,7.58,7,
https://www.kommersant.ru/doc/6297250,808,4.33,6,
https://www.kommersant.ru/doc/857559,791,10.37,12,
https://www.kommersant.ru/doc/6295857,780,0.77,5,
https://www.kommersant.ru/doc/6297134,779,1.8,9,
https://www.kommersant.ru/doc/6297241,753,1.99,9,
https://www.kommersant.ru/doc/6297113,751,1.73,9,
https://www.kommersant.ru/doc/6296856,728,6.59,3,
https://www.kommersant.ru/doc/1984361,653,1.23,9,
https://www.kommersant.ru/doc/6296199,645,6.2,12,
https://www.kommersant.ru/theme/721,627,0.96,16,
https://www.kommersant.ru/doc/6297086,605,0.83,24,
https://www.kommersant.ru/doc/6296772,587,17.55,5,
https://www.kommersant.ru/doc/6296911,580,5.0,12,
https://www.kommersant.ru/doc/1658655,578,0.35,14,
https://www.kommersant.ru/doc/6297154,536,1.31,10,
https://www.kommersant.ru/doc/6296722,531,2.82,9,
https://www.kommersant.ru/doc/6296366,528,9.85,10,
