"dates","24smi_clicks","24smi_shows","24smi_ctr","24smi_k","smi2_clicks","smi2_shows","smi2_ctr","smi2_k","infox_clicks","infox_shows","infox_ctr","infox_k"
2023-12-26,16415,248711,"6.6","2.14","17143.0","167434.0","6.39","1.5","10819.0","134179.0","8.06","1.31"
2023-12-25,6393,112682,"5.67","2.45","11943","145155","8,23",,4744,69866,"3,8",
2023-12-24,2050,28336,"7.23","3.7","3296","55134","5,98",,1666,33096,"3,4",
2023-12-23,2241,30398,"7.37","2.46","4133","107249","3,85",,2378,33934,"4,6",
2023-12-22,2024,34437,"5.88","2.15","4371","284582","1,54",,2457,35458,"4,6",
2023-12-21,2153,36304,"5.93","2.57","3953","200433","1,97",,2680,34229,5,
2023-12-20,3100,39767,"7.8","2.05","4032","301737","1,34",,826,37592,"1,5",
2023-12-19,3180,45323,"7.02","0.78","5177","211259","2,45",,3072,42188,"4,6",
2023-12-18,3487,44559,"7.83","0.34","5362","385223","1,39",,3814,43927,"5,6",
2023-12-17,2422,32305,"7.5","0.33","4023","669122","0,6",,2725,31704,"5,5",
2023-12-16,2175,28196,"7.71","0.5","3393","629480","0,54",,2364,31570,"4,9",
2023-12-15,2228,34772,"6.41","1.45","3785","707208","0,54",,2696,46220,"3,8",
2023-12-14,2980,43216,"6.9","1.33","4112","287214","1,43",,3464,44523,"5,1",
2023-12-13,3298,45742,"7.21","0.98","5217","472527","1,1",,4227,43449,"6,2",
2023-12-12,2536,38200,"6.64","8.15","4369","422556","1,03",,3569,38512,6,
2023-12-11,2057,35432,"5.81","1.22","3470","322976","1,07",,2659,35143,5,
2023-12-10,1459,27474,"5.31","0.37","2662","228657","1,16",,1853,30025,"4,1",
2023-12-09,1744,30484,"5.72","1.92","3376","272078","1,24",,2290,31892,"4,7",
2023-12-08,2273,36219,"6.28","2.44","4329","333354","1,3",,3057,35093,"5,6",
2023-12-07,2900,42643,"6.8","1.44","4909","166836","2,94",,3577,40396,"5,7",
2023-12-06,2766,42890,"6.45","1.78","4733","478936","0,99",,3508,41615,"5,4",
2023-12-05,2252,40877,"5.51","1.64","4153","162229","2,56",,2970,40219,"4,8",
2023-12-04,2845,43287,"6.57","1.5","4787","698691","0,69",,2494,41575,"3,9",
2023-12-03,1745,32342,"5.4","2.4","2942","276511","1,06",,1687,35729,"3,1",
2023-12-02,1800,34797,"5.17","2.47","3658","497534","0,74",,2012,38718,"3,4",
2023-12-01,3631,51921,"6.99","9.48","6043","80728","7,49",,4316,48264,"5,7",
2023-11-30,2898,40788,"7.11","1.9","4948","616888","0,8",,3816,38014,"6,5",
2023-11-29,2038,36617,"5.57","2.42","4215","313722","1,34",,3099,34063,"5,9",
2023-11-28,1753,35020,"5.01","4.82","4186","983239","0,43",,2778,34279,"5,4",
2023-11-27,2704,45444,"5.95","0.84","5290","1578997","0,34",,4146,41649,"6,4",
2023-11-26,1021,25634,"3.98","2.58","2377","379506","0,63",,1713,27216,"4,3",
2023-11-25,1320,29279,"4.51","0.75","2539","209895","1,21",,2137,30935,"4,7",
2023-11-24,1768,32633,"5.42","1.15","3907","926606","0,42",,2420,32351,5,
2023-11-23,2323,44940,"5.17","0.59","4258","418293","1,02",,2940,42018,"4,6",
2023-11-22,1911,39577,"4.83","3.73","3912","552075","0,71",,2378,39343,4,
2023-11-21,2100,44473,"4.72","2.88","4065","497233","0,82",,2989,40586,"4,8",
2023-11-20,1922,38327,"5.01","2.46","4173","804853","0,52",,2807,36345,"5,1",
2023-11-19,1796,32705,"5.49","1.59","2970","330692","0,9",,2060,32526,"4,2",
2023-11-18,3190,40445,"7.89","1.32","5160","554805","0,93",,3361,33839,"6,1",
2023-11-17,2704,40407,"6.69","1.83","4129","495008","0,83",,2841,36954,"4,9",
2023-11-16,4172,55379,"7.53","1.85","8557","1861756","0,46",,3604,48783,"4,7",
2023-11-15,2241,39865,"5.62","2.11","4232","186115","2,27",,2886,36588,"5,1",
2023-11-14,2047,37319,"5.49","7.26","3989","449827","0,89",,3076,35245,"5,6",
2023-11-13,2283,34072,"6.7","2.34","4373","1258763","0,35",,2125,32823,"4,3",
2023-11-12,2009,26874,"7.48","2.01","2450","105425","2,32",,1613,26387,"4,1",
2023-11-11,2686,29618,"9.07","1.84","3138","1105142","0,28",,2112,29947,"4,7",
2023-11-10,2439,31963,"7.63","5.14","3078","848716","0,36",,1834,32403,"3,8",
2023-11-09,3581,46407,"7.72","4.23","5690","1573625","0,36",,2858,40795,"4,6",
2023-11-08,2945,43201,"6.82","1.39","4941","1040851","0,47",,2139,39948,"3,6",
2023-11-07,2643,41555,"6.36","2.36","4575","277264","1,65",,2740,38919,"4,6",
2023-11-06,1815,32757,"5.54","2.6","3700","66811","5,54",,1832,30582,"3,9",
2023-11-05,1481,29261,"5.06","0.61","2891","208625","1,39",,1378,28806,"3,2",
2023-11-04,2360,39198,"6.02","0.65","4115","803056","0,51",,2355,40278,"3,9",
2023-11-03,2213,43007,"5.15","2.43","4098","855355","0,48",,2422,44421,"3,7",
2023-11-02,2354,47589,"4.95","1.2","4965","981926","0,51",,3150,45532,"4,4",
2023-11-01,2163,47254,"4.58","2.34","5190","980702","0,53",,3420,46233,"4,7",
2023-10-31,2842,43102,"6.59","2.05","5019","1307180","0,38",,3289,40804,"5,2",
2023-10-30,2832,42891,"6.6","1.85","4719","686916","0,69",,3100,38151,"5,2",
2023-10-29,2019,32032,"6.3","0.7","3148","116834","2,69",,2302,32742,"4,6",
2023-10-28,2539,35984,"7.06","2.4","4190","404674","1,04",,2621,33561,5,
2023-10-27,2559,35558,"7.2","3.0","3981","471217","0,84",,2536,34350,"4,8",
2023-10-26,2132,34863,"6.12","2.83","3549","290339","1,22",,2436,35901,"4,5",
2023-10-25,1973,35539,"5.55","3.79","3283","391169","0,84",,2284,36225,"4,2",
2023-10-24,2103,36473,"5.77","1.06","3788","585286","0,65",,2540,37222,"4,6",
2023-10-23,1985,35070,"5.66","0.59","3525","724912","0,49",,2377,35265,"4,4",
2023-10-22,1341,26131,"5.13","1.06","2600","187030","1,39",,1675,27520,"4,1",
2023-10-21,2140,33921,"6.31","2.08","4306","297473","1,45",,2607,32432,"5,1",
2023-10-20,2124,33968,"6.25","1.0","2663","124096","2,15",,2337,35259,"4,4",
2023-10-19,2390,39563,"6.04","1.1","3802","331884","1,15",,2718,38557,"4,6",
2023-10-18,1978,37639,"5.26","0.66","3351","596800","0,56",,2312,37724,"4,1",
2023-10-17,2503,43288,"5.78","2.65","4495","540300","0,83",,3149,42544,"4,8",
2023-10-16,2160,39310,"5.49","1.84","4535","686513","0,66",,2842,40279,"4,7",
2023-10-15,1671,30185,"5.54","2.56","3249","696348","0,47",,1794,30035,4,
2023-10-14,1210,27192,"4.45","5.79","2612","38494","6,79",,1909,32654,4,
2023-10-13,1365,30862,"4.42","0.44","3016","642235","0,47",,2161,35591,4,
2023-10-12,1946,35425,"5.49","2.02","4757","779390","0,61",,2353,36897,"4,3",
2023-10-11,2356,42508,"5.54","0.53","4746","410585","1,16",,3257,43551,"4,9",
2023-10-10,1510,37267,"4.05","2.32","4657","598425","0,78",,3032,40256,5,
2023-10-09,1763,41257,"4.27","1.71","5204","890169","0,58",,2750,42232,"4,2",
2023-10-08,1603,32932,"4.87","0.82","3344","475361","0,7",,1724,36899,"3,2",
2023-10-07,1121,33745,"3.32","0.24","3753","594548","0,63",,1755,42394,"2,7",
2023-10-06,1057,26847,"3.94","2.09","2520","184731","1,36",,1479,28950,"3,4",
2023-10-05,1474,32726,"4.5","1.49","4335","683565","0,63",,2109,32583,"4,2",
2023-10-04,1669,33473,"4.99","12.63","3670","195768","1,87",,2241,32982,"4,4",
2023-10-03,1486,34318,"4.33","0.56","3870","585236","0,66",,2227,34058,"4,3",
2023-10-02,1451,30414,"4.77","0.65","3220","358659","0,9",,2103,26941,"5,1",
2023-10-01,2226,31562,"7.05","1.0","4478","1196668","0,37",,2095,25726,"5,1",
2023-09-30,1726,25794,"6.69","4.7","3475","1329637","0,26",,1576,23211,"4,3",
2023-09-29,1612,29206,"5.52","1.66","3356","593882","0,57",,1608,25099,"4,2",
2023-09-28,2062,34599,"5.96","1.06","3982","489409","0,81",,2158,28730,"4,8",
2023-09-27,2443,36264,"6.74","0.99","3761","129705","2,9",,,,,
