dates,24smi_clicks,24smi_shows,24smi_ctr,24smi_k,smi2_clicks,smi2_shows,smi2_ctr,smi2_k,infox_clicks,infox_shows,infox_ctr,infox_k
2023-12-27,143,2056,6.96,2.11,129.0,1646.0,4.72,0.9,69.0,1426.0,4.84,0.0
2023-12-26,16415,248711,6.6,2.14,17143.0,167434.0,6.39,1.5,10819.0,134179.0,8.06,1.31
2023-12-25,6393,112682,5.67,2.45,,,,,,,,
2023-12-24,2050,28336,7.23,3.7,,,,,,,,
2023-12-23,2241,30398,7.37,2.46,,,,,,,,
2023-12-22,2024,34437,5.88,2.15,,,,,,,,
2023-12-21,2153,36304,5.93,2.57,,,,,,,,
2023-12-20,3100,39767,7.8,2.05,,,,,,,,
2023-12-19,3180,45323,7.02,0.78,,,,,,,,
2023-12-18,3487,44559,7.83,0.34,,,,,,,,
2023-12-17,2422,32305,7.5,0.33,,,,,,,,
2023-12-16,2175,28196,7.71,0.5,,,,,,,,
2023-12-15,2228,34772,6.41,1.45,,,,,,,,
2023-12-14,2980,43216,6.9,1.33,,,,,,,,
2023-12-13,3298,45742,7.21,0.98,,,,,,,,
2023-12-12,2536,38200,6.64,8.15,,,,,,,,
2023-12-11,2057,35432,5.81,1.22,,,,,,,,
2023-12-10,1459,27474,5.31,0.37,,,,,,,,
2023-12-09,1744,30484,5.72,1.92,,,,,,,,
2023-12-08,2273,36219,6.28,2.44,,,,,,,,
2023-12-07,2900,42643,6.8,1.44,,,,,,,,
2023-12-06,2766,42890,6.45,1.78,,,,,,,,
2023-12-05,2252,40877,5.51,1.64,,,,,,,,
2023-12-04,2845,43287,6.57,1.5,,,,,,,,
2023-12-03,1745,32342,5.4,2.4,,,,,,,,
2023-12-02,1800,34797,5.17,2.47,,,,,,,,
2023-12-01,3631,51921,6.99,9.48,,,,,,,,
2023-11-30,2898,40788,7.11,1.9,,,,,,,,
2023-11-29,2038,36617,5.57,2.42,,,,,,,,
2023-11-28,1753,35020,5.01,4.82,,,,,,,,
2023-11-27,2704,45444,5.95,0.84,,,,,,,,
2023-11-26,1021,25634,3.98,2.58,,,,,,,,
2023-11-25,1320,29279,4.51,0.75,,,,,,,,
2023-11-24,1768,32633,5.42,1.15,,,,,,,,
2023-11-23,2323,44940,5.17,0.59,,,,,,,,
2023-11-22,1911,39577,4.83,3.73,,,,,,,,
2023-11-21,2100,44473,4.72,2.88,,,,,,,,
2023-11-20,1922,38327,5.01,2.46,,,,,,,,
2023-11-19,1796,32705,5.49,1.59,,,,,,,,
2023-11-18,3190,40445,7.89,1.32,,,,,,,,
2023-11-17,2704,40407,6.69,1.83,,,,,,,,
2023-11-16,4172,55379,7.53,1.85,,,,,,,,
2023-11-15,2241,39865,5.62,2.11,,,,,,,,
2023-11-14,2047,37319,5.49,7.26,,,,,,,,
2023-11-13,2283,34072,6.7,2.34,,,,,,,,
2023-11-12,2009,26874,7.48,2.01,,,,,,,,
2023-11-11,2686,29618,9.07,1.84,,,,,,,,
2023-11-10,2439,31963,7.63,5.14,,,,,,,,
2023-11-09,3581,46407,7.72,4.23,,,,,,,,
2023-11-08,2945,43201,6.82,1.39,,,,,,,,
2023-11-07,2643,41555,6.36,2.36,,,,,,,,
2023-11-06,1815,32757,5.54,2.6,,,,,,,,
2023-11-05,1481,29261,5.06,0.61,,,,,,,,
2023-11-04,2360,39198,6.02,0.65,,,,,,,,
2023-11-03,2213,43007,5.15,2.43,,,,,,,,
2023-11-02,2354,47589,4.95,1.2,,,,,,,,
2023-11-01,2163,47254,4.58,2.34,,,,,,,,
2023-10-31,2842,43102,6.59,2.05,,,,,,,,
2023-10-30,2832,42891,6.6,1.85,,,,,,,,
2023-10-29,2019,32032,6.3,0.7,,,,,,,,
2023-10-28,2539,35984,7.06,2.4,,,,,,,,
2023-10-27,2559,35558,7.2,3.0,,,,,,,,
2023-10-26,2132,34863,6.12,2.83,,,,,,,,
2023-10-25,1973,35539,5.55,3.79,,,,,,,,
2023-10-24,2103,36473,5.77,1.06,,,,,,,,
2023-10-23,1985,35070,5.66,0.59,,,,,,,,
2023-10-22,1341,26131,5.13,1.06,,,,,,,,
2023-10-21,2140,33921,6.31,2.08,,,,,,,,
2023-10-20,2124,33968,6.25,1.0,,,,,,,,
2023-10-19,2390,39563,6.04,1.1,,,,,,,,
2023-10-18,1978,37639,5.26,0.66,,,,,,,,
2023-10-17,2503,43288,5.78,2.65,,,,,,,,
2023-10-16,2160,39310,5.49,1.84,,,,,,,,
2023-10-15,1671,30185,5.54,2.56,,,,,,,,
2023-10-14,1210,27192,4.45,5.79,,,,,,,,
2023-10-13,1365,30862,4.42,0.44,,,,,,,,
2023-10-12,1946,35425,5.49,2.02,,,,,,,,
2023-10-11,2356,42508,5.54,0.53,,,,,,,,
2023-10-10,1510,37267,4.05,2.32,,,,,,,,
2023-10-09,1763,41257,4.27,1.71,,,,,,,,
2023-10-08,1603,32932,4.87,0.82,,,,,,,,
2023-10-07,1121,33745,3.32,0.24,,,,,,,,
2023-10-06,1057,26847,3.94,2.09,,,,,,,,
2023-10-05,1474,32726,4.5,1.49,,,,,,,,
2023-10-04,1669,33473,4.99,12.63,,,,,,,,
2023-10-03,1486,34318,4.33,0.56,,,,,,,,
2023-10-02,1451,30414,4.77,0.65,,,,,,,,
2023-10-01,2226,31562,7.05,1.0,,,,,,,,
2023-09-30,1726,25794,6.69,4.7,,,,,,,,
2023-09-29,1612,29206,5.52,1.66,,,,,,,,
2023-09-28,2062,34599,5.96,1.06,,,,,,,,
2023-09-27,2443,36264,6.74,0.99,,,,,,,,
