page,impressions,ctr,position,заголовок
https://www.kommersant.ru/doc/6196105,29798,1.25,11,"('В Екатеринбурге покажут фильм про создателя ядерного оружия «Оппенгеймер» – Коммерсантъ Екатеринбург',)"
https://www.kommersant.ru/doc/5606203,29786,0.82,14,"('Чем известен Сергей Суровикин - Коммерсантъ',)"
https://www.kommersant.ru/doc/6238681,29553,1.42,10,"('Binance продала бизнес в России и переведет всех клиентов на CommEX – Коммерсантъ', 'Криптобиржа Binance уходит из России – Коммерсантъ')"
https://www.kommersant.ru/doc/6159059,29423,1.71,12,"('Совсем не Санта-Барбара - Коммерсантъ', 'История Барбары Робертс, которую весь мир знает как Барби', 'Как южноамериканские лидеры планируют спасать Амазонию')"
https://www.kommersant.ru/doc/4988319,29314,1.09,11,"('Приложения: Последние новости России и мира – Коммерсантъ ТОП-1000 российских менеджеров (133674) - Управленческий карантин',)"
https://www.kommersant.ru/doc/6281032,29267,0.86,13,"('Умер композитор культовых советских фильмов и мультфильмов Геннадий Гладков – Коммерсантъ', 'Умер композитор Геннадий Гладков – Коммерсантъ')"
https://www.kommersant.ru/doc/634373,28572,1.18,11,"('Крепостная правда – Деньги',)"
https://www.kommersant.ru/doc/6160722,28539,1.96,10,"('Нападающий «Салавата Юлаева» Родион Амиров умер в 21 год из-за опухоли мозга – Коммерсантъ',)"
https://www.kommersant.ru/doc/5887863,28247,1.19,11,"('Блогер Саша Митрошина: кто такая и сколько зарабатывает - Коммерсантъ',)"
https://www.kommersant.ru/doc/5594354,27608,1.47,12,"('Украина официально отказалась от переговоров с Владимиром Путиным – Коммерсантъ',)"
https://www.kommersant.ru/doc/6240040,27575,1.73,10,"('Путин обсудил с командиром «Вагнера» формирование добровольческих подразделений – Коммерсантъ', 'Путин обсудил с экс-командиром «Вагнера» формирование добровольческих подразделений – Коммерсантъ')"
https://www.kommersant.ru/doc/5863388,27497,1.73,10,"('Валерия (Лерчек) и Артем Чекалины: кто такие и сколько зарабатывают - Коммерсантъ',)"
https://www.kommersant.ru/doc/6162068,27115,1.69,13,"('Рецензия на фильм «Только ты и я» Валери Донзелли',)"
https://www.kommersant.ru/doc/5864616,26698,1.89,14,"('Обзор и\xa0прогноз цен на\xa0вторичную недвижимость на\xa0март 2023\xa0года',)"
https://www.kommersant.ru/doc/2287091,26335,1.94,11,"('ПРОБЛЕМА 2000: КТО УБИЛ ИИСУСА ХРИСТА? – Огонек № 39 (4626) от 26.12.1999',)"
https://www.kommersant.ru/doc/6067583,26229,1.11,11,"('Ситуация с Пригожиным и ЧВК «Вагнер». Что известно',)"
https://www.kommersant.ru/doc/1634111,26019,1.14,10,"('Цунами - самое разрушительное решение уравнений движения жидкостей – Наука – Коммерсантъ',)"
https://www.kommersant.ru/doc/1586083,25337,0.96,10,"('Из чего делают Coca Cola - секрет раскрыт', 'Секрет Coca Cola раскрыт - Коммерсантъ')"
https://www.kommersant.ru/doc/6172133,25312,1.54,10,"('Зеленский: Украина готова обменять Белгород на членство в НАТО – Коммерсантъ', 'Зеленский: «Мы готовы обменять Белгород на членство Украины в НАТО» – Коммерсантъ', 'Зеленский: «Мы готовы обменять Белгород на наше членство в НАТО» – Коммерсантъ', 'Zelensky: Ukraine ready to exchange Belgorod for NATO membership - Kommersant')"
https://www.kommersant.ru/doc/4314405,25303,1.07,12,"('Коронавирус: статистика на сегодня в Москве и регионах России',)"
https://www.kommersant.ru/doc/4732170,25041,1.13,11,"('«Сегодня чужую бабушку хоронят под номером — а завтра это можете быть вы» - Коммерсантъ',)"
https://www.kommersant.ru/doc/6147223,24581,1.23,11,"('Политики Японии в годовщину американской бомбардировки Хиросимы упомянули РФ, а не США – Коммерсантъ',)"
https://www.kommersant.ru/doc/3766049,24496,1.09,10,"('Неблагодарное дитя природы - Коммерсантъ',)"
https://www.kommersant.ru/doc/6250358,24347,1.48,11,"('Глава ВТБ прогнозирует курс доллара по 150–250 при двойном курсе рубля – Коммерсантъ', 'Глава ВТБ прогнозирует курс доллара по 150-250 при двойном курсе рубля – Коммерсантъ')"
https://www.kommersant.ru/doc/6042490,24033,1.07,13,"('Rammstein находится на грани распада из-за поведения фронтмена на секс-вечеринках после концертов',)"
https://www.kommersant.ru/doc/5394911,22990,1.71,10,"('Чем известен Виталий Хоценко - Коммерсантъ',)"
https://www.kommersant.ru/doc/5941266,22642,1.88,10,"('Основным кандидатом в мэры Москвы от КПРФ стал Леонид Зюганов – Коммерсантъ',)"
