page,impressions,ctr,position,заголовок
https://www.kommersant.ru/lenta,62828,2.98,7,"('Лента новостей в режиме реального времени: последние новости России и мира на сегодня - Коммерсантъ', 'Лента новостей в режиме реального времени: последние новости России и мира на сегодня - Коммерсантъ')"
https://www.kommersant.ru/doc/6310795,47788,1.29,9,"('День народного единства: суть и история праздника 4 ноября - Коммерсантъ',)"
https://www.kommersant.ru/doc/6320361,23965,1.87,8,"('Сектор Газа: история, география и экономика - Коммерсантъ',)"
https://www.kommersant.ru/doc/6320969,23866,1.77,7,"('Адам Кадыров назначен на «ответственную должность» в совете безопасности Чечни – Коммерсантъ',)"
https://www.kommersant.ru/doc/3999368,18959,3.08,5,"('Статья 228 УК РФ: наказание, сроки, подробности',)"
https://www.kommersant.ru/doc/4760817,15692,0.99,9,"('Материнский капитал 2024: размер, на что можно потратить',)"
https://www.kommersant.ru/doc/6320960,14166,1.19,8,"('По судостроительному заводу в Керчи выпущено 15 ракет, поврежден корабль – Коммерсантъ',)"
https://www.kommersant.ru/doc/6311714,13172,0.67,9,"('Что такое Хэллоуин',)"
https://www.kommersant.ru/projects/eu,12777,0.41,9,()
https://www.kommersant.ru/doc/6236904,11670,3.66,6,"('Пенсии неработающим пенсионерам в 2024 году',)"
https://www.kommersant.ru/doc/5953459,10924,3.11,6,"('Пенсионный возраст в России 2024: годы рождения, возраст выхода на пенсию',)"
https://www.kommersant.ru/doc/6321150,8780,3.26,5,"('Жители Башкирии наблюдали северное сияние – Коммерсантъ Уфа',)"
https://www.kommersant.ru/doc/6321041,8539,0.05,7,"('«Яндекс Погода»: 6 ноября в Черноземье будет все еще дождливо, до +13° – Коммерсантъ Воронеж',)"
https://www.kommersant.ru/doc/2674108,8421,2.02,8,"('Анклав: что такое, список всех анклавов мира',)"
https://www.kommersant.ru/doc/4898652,8335,1.18,9,"('Мелатонин: что за гормон, когда вырабатывается и для чего нужен – Наука',)"
https://www.kommersant.ru/doc/6321109,8099,2.68,7,"('Стрельбу у ресторана в Москве устроил чемпион Европы по боксу Никита Иванов – Коммерсантъ',)"
https://www.kommersant.ru/doc/6267841,7748,1.48,6,"('Армия Израиля опубликовала карту запретной зоны вокруг сектора Газа – Коммерсантъ',)"
https://www.kommersant.ru/doc/254914,7559,2.67,9,"('Словарь жестов – Власть',)"
https://www.kommersant.ru/doc/5876097,7557,3.47,6,"('В каких странах мира переводят часы на летнее и зимнее время - Коммерсантъ',)"
https://www.kommersant.ru/doc/3126638,7544,1.19,8,"('Все президенты США: список и чем известны', 'Все президенты США в цифрах, фактах и лозунгах')"
https://www.kommersant.ru/regions/66,6883,0.86,9,"('Последние новости Екатеринбурга и Свердловской области на сегодня - Коммерсантъ', 'Последние новости Екатеринбурга и Свердловской области на сегодня - Коммерсантъ')"
https://www.kommersant.ru/doc/6311224,6495,0.15,6,"('Сбербанк повысил ставки по вкладам в рублях, максимальная доходность — 14% – Коммерсантъ',)"
https://www.kommersant.ru/doc/5194062,6473,3.23,6,"('Возврат товара в 2023 году: закон, сроки, условия',)"
https://www.kommersant.ru/doc/6320978,6358,0.74,7,"('Атомный подводный крейсер «Император Александр III» выполнил пуск баллистической ракеты «Булава» – Коммерсантъ', 'Il sottomarino nucleare ""Imperatore Alessandro III"" ha lanciato il missile balistico ""Bulava"" - Kommersant')"
https://www.kommersant.ru/doc/6319944,6327,1.91,9,"('Главком ВСУ Валерий Залужный признал, что боевые действия на Украине переходят в позиционную стадию',)"
https://www.kommersant.ru/doc/1385337,6315,3.56,7,"('""Брокколи не должна соприкасаться с кипящей водой"" – Weekend Украина', '&quot;Брокколи не должна соприкасаться с кипящей водой&quot; – Weekend Украина')"
https://www.kommersant.ru/doc/1122350,6314,2.9,6,"('Каперсы: что такое, чем полезны, фото',)"
https://www.kommersant.ru/doc/5272200,6297,1.18,6,"('Социофобия: признаки, причины, как справиться',)"
https://www.kommersant.ru/theme/218,5884,0.93,9,"('Ситуация в Приднестровье: последние новости - Коммерсантъ',)"
https://www.kommersant.ru/doc/4052509,5755,0.59,5,"('Дикпик: что это',)"
https://www.kommersant.ru/doc/6320818,5526,2.21,6,"('NBC: США и ЕС обсуждают с Украиной мирные переговоры с Россией – Коммерсантъ',)"
https://www.kommersant.ru/doc/1475877,5198,3.29,7,"('Богиня красоты, богиня любви: Афродита, Иштар и другие покровители любви',)"
https://www.kommersant.ru/doc/1370714,5160,1.18,6,"('Евнухи: кто такие и какое место занимали в истории',)"
https://www.kommersant.ru/theme/1960,5034,1.45,9,"('Донбасс: последние новости на сегодня - Коммерсантъ',)"
https://www.kommersant.ru/doc/5339923,5022,2.73,6,"('Статья за оскорбление: можно ли подать в суд и какой штраф',)"
https://www.kommersant.ru/doc/5258817,4864,2.55,6,"('Как удалить аккаунт в Facebook - Коммерсантъ',)"
https://www.kommersant.ru/doc/6319696,4640,2.67,5,"('Кто такие сунниты и шииты - Коммерсантъ',)"
https://www.kommersant.ru/regions/18,4576,3.17,7,"('Последние новости Ижевска и Удмуртии на сегодня - Коммерсантъ',)"
https://www.kommersant.ru/doc/6320760,4573,0.61,8,"('Ожидаемая речь генсека ливанской «Хезболлы» Хасана\xa0Насраллы оказалась выражением солидарности с палестинцами', 'США и «Хезболла» обменялись угрозами - Коммерсантъ')"
